sql_id,num_tables_used,num_kpis,primary_table,kpi_family,execution_count,frequency_bucket,analyst,dominant_hour,dominant_day_of_week
S001304,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_04,10,Thursday
S001217,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_12,10,Thursday
S000584,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,11,Thursday
S000926,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_09,17,Thursday
S000927,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_09,18,Thursday
S000008,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Friday
S001491,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_09,9,Friday
S001388,2,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_07,11,Friday
S000410,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,11,Friday
S001298,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_12,14,Friday
S000702,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,9,Monday
S000228,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,9,Monday
S000807,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_08,9,Monday
S000411,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,11,Monday
S001129,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_10,15,Monday
S001309,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_12,18,Monday
S001392,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_05,9,Tuesday
S000009,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Tuesday
S001233,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_10,11,Tuesday
S001299,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_10,14,Tuesday
S000010,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Wednesday
S000011,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Thursday
S000412,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,10,Thursday
S000229,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Thursday
S001353,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_03,14,Thursday
S000012,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,11,Friday
S000413,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_04,8,Monday
S000230,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,8,Monday
S000772,1,3,support_tickets,support_sla,1,ad-hoc,analyst_07,10,Monday
S000013,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Monday
S000738,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,11,Monday
S000808,3,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_08,13,Monday
S001017,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_06,19,Monday
S000014,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_11,9,Tuesday
S000585,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,9,Tuesday
S000231,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Tuesday
S001060,2,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_01,15,Tuesday
S000232,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Wednesday
S000414,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,11,Wednesday
S000015,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,11,Wednesday
S001364,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_10,14,Wednesday
S000586,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,8,Thursday
S000233,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,9,Thursday
S000415,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,11,Thursday
S000234,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,8,Friday
S000016,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_12,10,Friday
S001431,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_02,10,Friday
S000017,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,11,Saturday
S000416,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Monday
S001361,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_12,9,Monday
S000773,1,3,support_tickets,support_sla,1,ad-hoc,analyst_07,9,Monday
S000018,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Monday
S000809,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_08,9,Monday
S001245,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_11,11,Monday
S001123,2,2,raw_ticket_sales,rfm_segmentation,1,ad-hoc,analyst_10,11,Monday
S000739,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,13,Monday
S000703,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,14,Monday
S001487,2,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_09,16,Monday
S001133,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_01,18,Monday
S000019,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Tuesday
S000417,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Tuesday
S000235,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Tuesday
S001270,1,3,support_tickets,support_sla,1,ad-hoc,analyst_01,15,Tuesday
S000418,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,10,Wednesday
S001258,2,2,raw_ticket_sales,rfm_segmentation,1,ad-hoc,analyst_06,10,Wednesday
S000020,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,11,Wednesday
S000842,2,2,raw_ticket_sales,rfm_segmentation,1,ad-hoc,analyst_09,10,Thursday
S000852,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_10,10,Thursday
S000872,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,11,Thursday
S000236,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Friday
S001048,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_02,12,Friday
S000021,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Saturday
S000419,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,10,Saturday
S000587,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_01,8,Monday
S000420,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Monday
S000237,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Monday
S000740,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,10,Monday
S000022,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Monday
S000704,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,11,Monday
S001454,2,2,raw_ticket_sales,rfm_segmentation,1,ad-hoc,analyst_06,12,Monday
S001144,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_10,13,Monday
S000774,1,3,support_tickets,support_sla,1,ad-hoc,analyst_07,14,Monday
S001113,1,3,support_tickets,support_sla,1,ad-hoc,analyst_07,14,Monday
S000238,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,9,Tuesday
S000023,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,11,Tuesday
S001082,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_04,14,Tuesday
S001483,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_05,18,Tuesday
S000588,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,10,Wednesday
S000239,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,11,Wednesday
S000421,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,11,Wednesday
S000024,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Thursday
S000422,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,10,Thursday
S000240,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Thursday
S001324,1,3,support_tickets,support_sla,1,ad-hoc,analyst_08,12,Thursday
S000423,4,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Friday
S000025,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Friday
S000241,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,8,Friday
S000922,2,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_02,13,Friday
S000923,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_02,14,Friday
S000925,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_02,14,Friday
S000924,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_02,15,Friday
S001319,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_10,17,Saturday
S000424,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,10,Monday
S000810,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_08,10,Monday
S000741,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,10,Monday
S000242,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,11,Monday
S001139,1,3,support_tickets,support_sla,1,ad-hoc,analyst_10,11,Monday
S000705,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,13,Monday
S000775,1,3,support_tickets,support_sla,1,ad-hoc,analyst_03,14,Monday
S001297,1,3,support_tickets,support_sla,1,ad-hoc,analyst_05,15,Monday
S000425,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Tuesday
S001407,1,3,support_tickets,support_sla,1,ad-hoc,analyst_02,15,Tuesday
S000589,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_06,8,Wednesday
S000026,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_10,8,Wednesday
S000243,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,11,Wednesday
S000027,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Thursday
S000426,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Thursday
S001219,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_09,15,Thursday
S001303,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_12,15,Thursday
S000427,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Friday
S000028,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Friday
S000244,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,11,Friday
S001169,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_06,12,Friday
S000590,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,8,Monday
S000811,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_08,9,Monday
S000029,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Monday
S000428,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,11,Monday
S000776,1,3,support_tickets,support_sla,1,ad-hoc,analyst_07,11,Monday
S000706,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,13,Monday
S001399,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_05,17,Monday
S001458,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_10,17,Monday
S000030,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Tuesday
S000591,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,9,Tuesday
S000429,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_04,9,Tuesday
S001242,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_10,12,Tuesday
S001464,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,14,Tuesday
S000592,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,8,Wednesday
S000430,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Wednesday
S000031,3,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Wednesday
S000245,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,11,Wednesday
S001175,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_06,17,Wednesday
S000431,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Thursday
S000032,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Thursday
S000432,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Friday
S000033,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Friday
S001484,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_09,14,Friday
S001057,2,2,raw_ticket_sales,rfm_segmentation,1,ad-hoc,analyst_03,15,Friday
S000906,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_01,17,Friday
S000908,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_01,17,Friday
S000907,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,17,Friday
S000909,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_01,18,Friday
S001076,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_05,20,Friday
S000034,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Monday
S000246,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,9,Monday
S000433,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Monday
S000742,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,10,Monday
S001257,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_12,10,Monday
S000777,1,3,support_tickets,support_sla,1,ad-hoc,analyst_07,10,Monday
S001158,1,3,support_tickets,support_sla,1,ad-hoc,analyst_11,11,Monday
S001436,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_10,12,Monday
S000707,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,14,Monday
S000896,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_03,17,Monday
S000898,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_03,17,Monday
S000897,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_03,18,Monday
S000899,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_03,18,Monday
S000035,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Tuesday
S001266,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Tuesday
S000434,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,10,Tuesday
S000593,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,11,Tuesday
S001042,2,2,raw_ticket_sales,rfm_segmentation,1,ad-hoc,analyst_08,13,Tuesday
S000594,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,8,Wednesday
S000435,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,10,Wednesday
S000036,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_06,8,Thursday
S000436,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Thursday
S000247,3,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_07,10,Thursday
S000037,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Friday
S000248,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,9,Friday
S000862,1,3,support_tickets,support_sla,1,ad-hoc,analyst_07,11,Friday
S000873,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,12,Friday
S000843,2,2,raw_ticket_sales,rfm_segmentation,1,ad-hoc,analyst_09,12,Friday
S001362,1,3,support_tickets,support_sla,1,ad-hoc,analyst_06,12,Friday
S001191,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_10,13,Friday
S000437,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Monday
S000038,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Monday
S001389,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_11,10,Monday
S001267,3,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_09,10,Monday
S000778,1,3,support_tickets,support_sla,1,ad-hoc,analyst_08,11,Monday
S000595,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,11,Monday
S001080,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_10,12,Monday
S000708,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,13,Monday
S000743,3,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,14,Monday
S001024,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_04,17,Monday
S001292,2,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_11,19,Monday
S000438,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Tuesday
S000596,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,8,Tuesday
S001387,2,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_08,9,Tuesday
S000039,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Tuesday
S000249,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,11,Tuesday
S001177,3,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_03,12,Tuesday
S000040,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,8,Wednesday
S000439,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Wednesday
S000597,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,10,Wednesday
S000250,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_03,8,Thursday
S000440,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Thursday
S000251,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_09,9,Friday
S000041,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Friday
S001084,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_02,17,Friday
S000441,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Saturday
S001213,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_07,10,Sunday
S000252,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,8,Monday
S000709,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,9,Monday
S000744,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,9,Monday
S000042,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Monday
S000779,2,3,support_tickets,support_sla,1,ad-hoc,analyst_04,10,Monday
S000442,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,10,Monday
S000812,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_08,10,Monday
S000598,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,11,Monday
S001013,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,12,Monday
S000599,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,9,Tuesday
S000043,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Tuesday
S000044,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Wednesday
S000600,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_08,10,Thursday
S000253,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,11,Thursday
S001039,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_12,17,Thursday
S000045,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Friday
S000601,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,11,Friday
S000443,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,11,Saturday
S000444,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Sunday
S000813,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_08,9,Monday
S000602,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,9,Monday
S000046,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Monday
S000710,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_09,11,Monday
S000745,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,11,Monday
S001420,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_08,12,Monday
S001246,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,14,Monday
S000994,1,3,support_tickets,support_sla,1,ad-hoc,analyst_11,15,Monday
S000983,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_12,15,Monday
S001027,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_06,17,Monday
